,NH3,NH3_final,H,H_final,label,Time,TimeProcess,People,Positive,Negative
0,39,39,26,26%,0,7:00 AM,420,4,4,0
1,41,41,20,20%,0,7:05 AM,425,3,2,2
2,45,45,23,23%,0,7:10 AM,430,4,1,2
3,44,44,28,28%,0,7:15 AM,435,3,2,0
4,44,44,26,26%,0,7:20 AM,440,3,2,0
5,50,50,27,27%,0,7:25 AM,445,3,2,2
6,48,48,26,26%,0,7:30 AM,450,4,3,0
7,48,48,28,28%,0,7:35 AM,455,2,2,1
8,44,44,25,25%,0,7:40 AM,460,5,5,1
9,45,45,28,28%,0,7:45 AM,465,7,7,7
10,50,50,27,27%,0,7:50 AM,470,8,7,4
11,50,50,27,27%,0,7:55 AM,475,4,3,2
12,50,50,26,26%,0,8:00 AM,480,4,1,4
13,48,48,29,29%,0,8:05 AM,485,5,2,3
14,51,51,31,31%,0,8:10 AM,490,3,3,1
15,45,45,27,27%,0,8:15 AM,495,4,1,3
16,44,44,29,29%,0,8:20 AM,500,6,3,2
17,45,45,31,31%,0,8:25 AM,505,3,0,2
18,49,49,29,29%,0,8:30 AM,510,4,2,3
19,44,44,31,31%,0,8:35 AM,515,3,2,2
20,45,45,26,26%,0,8:40 AM,520,4,1,4
21,48,48,28,28%,0,8:45 AM,525,5,3,1
22,50,50,35,35%,0,8:50 AM,530,4,3,1
23,45,45,38,38%,1,8:55 AM,535,1,1,1
24,44,44,33,33%,0,9:00 AM,540,4,4,3
25,48,48,32,32%,0,9:05 AM,545,0,0,0
26,46,46,34,34%,0,9:10 AM,550,6,5,5
27,46,46,35,35%,0,9:15 AM,555,3,1,1
28,45,45,31,31%,0,9:20 AM,560,5,2,3
29,43,43,35,35%,0,9:25 AM,565,6,3,3
30,45,45,35,35%,0,9:30 AM,570,5,4,4
31,52,52,35,35%,0,9:35 AM,575,3,2,1
32,46,46,34,34%,0,9:40 AM,580,11,11,7
33,52,52,32,32%,0,9:45 AM,585,3,1,3
34,52,52,24,24%,0,9:50 AM,590,3,0,3
35,54,54,21,21%,0,9:55 AM,595,7,5,4
36,59,59,26,26%,0,10:00 AM,600,5,4,2
37,58,58,22,22%,0,10:05 AM,605,6,6,4
38,56,56,26,26%,0,10:10 AM,610,2,1,0
39,55,55,26,26%,0,10:15 AM,615,4,1,3
40,55,55,21,21%,0,10:20 AM,620,2,0,0
41,57,57,25,25%,0,10:25 AM,625,6,6,4
42,60,60,27,27%,0,10:30 AM,630,2,2,1
43,53,53,30,30%,0,10:35 AM,635,3,3,0
44,58,58,25,25%,0,10:40 AM,640,3,0,0
45,47,47,29,29%,0,10:45 AM,645,2,2,2
46,45,45,26,26%,0,10:50 AM,650,1,0,0
47,44,44,24,24%,1,10:55 AM,655,3,0,2
48,47,47,24,24%,0,11:00 AM,660,1,1,1
49,46,46,28,28%,0,11:05 AM,665,0,0,0
50,47,47,27,27%,0,11:10 AM,670,4,2,4
51,48,48,26,26%,0,11:15 AM,675,4,3,3
52,41,41,30,30%,0,11:20 AM,680,3,3,3
53,43,43,27,27%,0,11:25 AM,685,3,3,0
54,45,45,28,28%,0,11:30 AM,690,4,4,3
55,41,41,27,27%,0,11:35 AM,695,9,9,7
56,47,47,29,29%,0,11:40 AM,700,6,3,4
57,45,45,26,26%,0,11:45 AM,705,7,4,4
58,42,42,28,28%,0,11:50 AM,710,10,9,8
59,50,50,24,24%,0,11:55 AM,715,6,5,5
60,47,47,29,29%,0,12:00 PM,720,1,0,0
61,46,46,27,27%,0,12:05 PM,725,4,4,1
62,40,40,28,28%,0,12:10 PM,730,2,1,1
63,43,43,26,26%,0,12:15 PM,735,3,0,2
64,39,39,25,25%,0,12:20 PM,740,1,0,0
65,41,41,22,22%,0,12:25 PM,745,2,0,1
66,48,48,26,26%,0,12:30 PM,750,1,0,0
67,49,49,24,24%,0,12:35 PM,755,1,0,1
68,46,46,25,25%,0,12:40 PM,760,2,2,2
69,46,46,27,27%,0,12:45 PM,765,2,1,2
